"","name","line","PlaceIsol","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","...12","...13","type","replicate"
"178","220120_YST6_R21_A_FLC_48hr","YST6","R21","FLC",1,1,1,NA,NA,NA,2,NA,NA,"R",21
"179","220120_YST6_R21_A1_FLC_48hr.tx","YST6","R21","FLC",1,1,1,NA,NA,NA,1.2,NA,NA,"R",21
"180","220120_YST6_R21_B_FLC_48hr","YST6","R21","FLC",1,1,1,NA,NA,NA,2,NA,NA,"R",21
"181","220120_YST6_R21_B1_FLC_48hr.tx","YST6","R21","FLC",1,1,1,NA,NA,NA,2,NA,NA,"R",21
"182","220120_YST6_R22_A_FLC_48hr","YST6","R22","FLC",1,1,1,NA,NA,NA,0.8,NA,NA,"R",22
"183","220120_YST6_R22_A1_FLC_48hr.tx","YST6","R22","FLC",1,1,1,NA,NA,NA,0.9,NA,NA,"R",22
"184","220120_YST6_R22_B_FLC_48hr","YST6","R22","FLC",0,1,1,NA,NA,NA,5.4,NA,NA,"R",22
"185","220120_YST6_R22_B1_FLC_48hr.tx","YST6","R22","FLC",1,1,1,NA,NA,NA,0.3,NA,NA,"R",22
"186","220120_YST6_R23_A_FLC_48hr","YST6","R23","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"R",23
"187","220120_YST6_R23_A1_FLC_48hr.tx","YST6","R23","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"R",23
"188","220120_YST6_R23_B_FLC_48hr","YST6","R23","FLC",1,1,1,NA,NA,NA,2.2,NA,NA,"R",23
"189","220120_YST6_R23_B1_FLC_48hr.tx","YST6","R23","FLC",1,1,1,NA,NA,NA,2.4,NA,NA,"R",23
"190","220120_YST6_R24_A_FLC_48hr","YST6","R24","FLC",1,1,1,NA,NA,NA,2.1,NA,NA,"R",24
"191","220120_YST6_R24_A1_FLC_48hr.tx","YST6","R24","FLC",1,1,1,NA,NA,NA,2.4,NA,NA,"R",24
"192","220120_YST6_R24_B_FLC_48hr","YST6","R24","FLC",1,1,1,NA,NA,NA,1.2,NA,NA,"R",24
"193","220120_YST6_R24_B1_FLC_48hr.tx","YST6","R24","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"R",24
"194","211126_YST6_V1_A_BA_48h","YST6","V1","BA",6,11,12,0.09,0.29,0.27,27.6,NA,NA,"V",1
"195","220113_YST6_V1_A_BA_48hr","YST6","V1","BA",4,7,9,0.21,0.39,0.35,37,NA,NA,"V",1
"196","220113_YST6_V1_B_BA_48hr","YST6","V1","BA",5,8,9,0.16,0.29,0.24,45,NA,NA,"V",1
"197","211126_YST6_V2_A_BA_48h","YST6","V2","BA",6,9,18,0.21,0.3,0.53,22.9,NA,NA,"V",2
"198","211126_YST6_V2_B_BA_48h","YST6","V2","BA",6,9,10,0.23,0.32,0.29,19.8,NA,NA,"V",2
"199","220113_YST6_V2_A_BA_48hr","YST6","V2","BA",4,8,9,0.13,0.34,0.3,44.2,NA,NA,"V",2
"200","220113_YST6_V2_B_BA_48hr","YST6","V2","BA",3,7,8,0.32,0.36,0.34,50.9,NA,NA,"V",2
"201","211126_YST6_V3_A_BA_48h","YST6","V3","BA",7,10,13,0.17,0.25,0.31,32.9,NA,NA,"V",3
"202","220113_YST6_V3_A_BA_48hr","YST6","V3","BA",3,5,6,0.26,0.29,0.29,47.9,NA,NA,"V",3
"203","220113_YST6_V3_B_BA_48hr","YST6","V3","BA",4,8,9,0.17,0.27,0.28,56.9,NA,NA,"V",3
"204","211126_YST6_V4_A_BA_48h","YST6","V4","BA",8,10,15,0.16,0.19,0.33,35.3,NA,NA,"V",4
"205","211126_YST6_V4_B_BA_48h","YST6","V4","BA",7,9,11,0.25,0.25,0.33,18.4,NA,NA,"V",4
"206","220113_YST6_V4_A_BA_48hr","YST6","V4","BA",6,9,11,0.07,0.26,0.26,41.9,NA,NA,"V",4
"207","220113_YST6_V4_B_BA_48hr","YST6","V4","BA",4,7,9,0.38,0.34,0.36,28.9,NA,NA,"V",4
"208","211126_YST6_V5_A_BA_48h","YST6","V5","BA",6,11,14,0.16,0.4,0.37,24.2,NA,NA,"V",5
"209","211126_YST6_V5_B_BA_48h","YST6","V5","BA",7,11,13,0.19,0.34,0.31,35.7,NA,NA,"V",5
"210","220113_YST6_V5_A_BA_48hr","YST6","V5","BA",5,8,10,0.15,0.3,0.31,33.4,NA,NA,"V",5
